"GEO","TIME_PERIOD","MODE","FUEL_TYPE","OBS_VALUE","UNIT_MEASURE"
"IND","FY2017","MGV (7.5-12 tonnes)","Diesel",28347,"Registrations"
"IND","FY2017","HGV (>12 tonnes)","EV",3,"Registrations"
"IND","FY2017","HGV (>12 tonnes)","Diesel",232306,"Registrations"
"IND","FY2017","Others","EV",481,"Registrations"
"IND","FY2017","2W","Other",25861,"Registrations"
"IND","FY2017","3W Passenger","Other",88159,"Registrations"
"IND","FY2017","3W Goods","Other",5408,"Registrations"
"IND","FY2017","Cars","Other",285561,"Registrations"
"IND","FY2017","Bus","Other",18950,"Registrations"
"IND","FY2017","LGV (up to 7/5 tonnes)","Other",15946,"Registrations"
"IND","FY2017","MGV (7.5-12 tonnes)","Other",949,"Registrations"
"IND","FY2017","HGV (>12 tonnes)","Other",1411,"Registrations"
"IND","FY2017","Others","Other",723401,"Registrations"
"IND","FY2018","2W","EV",2008,"Registrations"
"IND","FY2018","2W","Petrol",18531131,"Registrations"
"IND","FY2018","3W Passenger","EV",560,"Registrations"
"IND","FY2018","3W Passenger","Diesel",189358,"Registrations"
"IND","FY2018","3W Passenger","Petrol/CNG",169484,"Registrations"
"IND","FY2018","3W Goods","EV",137,"Registrations"
"IND","FY2018","3W Goods","Diesel",93110,"Registrations"
"IND","FY2018","3W Goods","CNG",289,"Registrations"
"IND","FY2018","Cars","EV",1213,"Registrations"
"IND","FY2018","Cars","Diesel",1197222,"Registrations"
"IND","FY2018","Cars","Petrol",1657014,"Registrations"
"IND","FY2018","Bus","EV",41,"Registrations"
"IND","FY2018","Bus","Diesel",87460,"Registrations"
"IND","FY2018","LGV (up to 7/5 tonnes)","EV",661,"Registrations"
"IND","FY2018","LGV (up to 7/5 tonnes)","Diesel",403787,"Registrations"
"IND","FY2018","MGV (7.5-12 tonnes)","EV",1,"Registrations"
"IND","FY2018","MGV (7.5-12 tonnes)","Diesel",25008,"Registrations"
"IND","FY2018","HGV (>12 tonnes)","EV",0,"Registrations"
"IND","FY2018","HGV (>12 tonnes)","Diesel",243395,"Registrations"
"IND","FY2018","Others","EV",556,"Registrations"
